amfi_code,scheme_label,fund_house,scheme_type,scheme_category,scheme_name,isin_growth,isin_div_reinvestment,risk_grade
125497,HDFC Top 100 Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,,Very High
119551,SBI Bluechip,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,Low to Moderate
120503,ICICI Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,,Very High
118632,Nippon Large Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,,Very High
119092,Axis Bluechip,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,HDFC Money Market Fund - Growth Option - Direct Plan,INF179KB1HU9,,Low to Moderate
120841,Kotak Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,,Very High
