amfi_code,latest_nav,first_nav,one_year_return_percent,three_year_return_percent,total_return_percent,expense_ratio,return_anomaly_flag,expense_ratio_anomaly_flag
125497,203.5443,13.0894,5.48,49.28,1455.03,1.51,True,False
119551,106.041,103.0059,-1.32,-5.78,2.95,0.35,False,False
120503,107.5421,15.0253,-0.38,38.5,615.74,0.82,False,False
118632,100.4605,14.6967,0.55,53.1,583.56,0.72,False,False
119092,6200.8511,23.992,6.23,23.76,25745.49,1.7,True,False
120841,249.9814,30.6076,3.18,63.19,716.73,1.59,False,False
