scheme_code,scheme_name,total_records,missing_nav,missing_date,min_date,max_date
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,3314,0,0,2013-01-02,2026-06-23
119092,HDFC Money Market Fund - Growth Option - Direct Plan,3581,0,0,2012-12-31,2026-06-23
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,3252,0,0,2013-01-02,2026-06-23
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,3323,0,0,2013-01-02,2026-06-23
120841,quant Mid Cap Fund - Growth Option - Direct Plan,3317,0,0,2013-01-07,2026-06-23
125497,SBI Small Cap Fund - Direct Plan - Growth,3107,0,0,2013-11-18,2026-06-23
