scheme_key,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,records_fetched,latest_date,latest_nav
HDFC_Top_100_Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,3107,2026-06-23,203.5443
SBI_Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,3252,2026-06-23,106.041
ICICI_Bluechip,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,3323,2026-06-23,107.5421
Nippon_Large_Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,3314,2026-06-23,100.4605
Axis_Bluechip,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,3581,2026-06-23,6200.8511
Kotak_Bluechip,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,3317,2026-06-23,249.9814
